Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
24,Travel_Rarely,816,Research & Development,27,3,1,Female,5,Manager,3,Divorced,9066,9,No,11,4,3,1,22,3,3,33,11,0,8,No
52,Travel_Rarely,1259,Research & Development,25,3,2,Female,2,Healthcare Representative,1,Single,5164,2,No,24,3,3,1,28,2,2,28,12,1,16,Yes
44,Travel_Frequently,1148,Human Resources,25,4,4,Male,4,Manufacturing Director,4,Single,15995,7,No,11,4,3,1,20,4,1,8,6,11,15,No
47,Travel_Rarely,1112,Human Resources,18,4,2,Male,2,Research Scientist,2,Divorced,10614,4,Yes,20,4,3,1,6,5,3,25,11,8,6,Yes
22,Travel_Frequently,853,Research & Development,24,4,2,Female,5,Research Scientist,3,Married,10909,8,No,19,3,2,2,37,5,3,9,12,13,12,No
31,Travel_Rarely,1308,Sales,14,1,4,Male,2,Laboratory Technician,4,Divorced,12678,5,Yes,20,4,3,1,31,2,2,11,13,10,12,Yes
50,Travel_Rarely,1476,Sales,5,2,2,Female,4,Laboratory Technician,2,Single,17520,8,Yes,19,4,2,2,29,2,1,30,5,6,14,Yes
52,Non-Travel,1240,Human Resources,8,2,4,Male,5,Manager,1,Married,4505,4,No,23,3,3,2,4,5,3,5,17,12,7,No
36,Non-Travel,587,Sales,24,3,1,Female,3,Research Scientist,1,Divorced,2237,5,No,22,3,4,2,31,5,1,17,6,8,6,No
51,Non-Travel,486,Human Resources,19,4,3,Female,3,Sales Representative,3,Married,18266,5,No,16,3,4,2,19,1,1,14,2,14,8,No
53,Travel_Rarely,101,Research & Development,28,2,1,Male,3,Healthcare Representative,3,Married,19269,6,No,12,3,4,1,17,2,3,5,17,6,4,No
34,Travel_Frequently,1490,Research & Development,26,2,1,Female,2,Manufacturing Director,1,Divorced,17097,9,No,22,4,4,0,38,1,2,1,4,7,3,Yes
55,Travel_Rarely,1125,Sales,22,4,3,Female,1,Manufacturing Director,3,Single,4952,5,No,18,3,2,2,29,1,1,33,15,7,8,No
30,Travel_Rarely,1411,Research & Development,2,3,3,Female,3,Laboratory Technician,1,Divorced,3824,9,No,19,4,3,0,33,2,2,10,11,6,15,Yes
28,Travel_Frequently,1202,Human Resources,6,2,1,Male,4,Manager,3,Married,8135,1,No,15,3,1,2,32,2,1,3,4,3,8,No
46,Travel_Frequently,702,Sales,11,4,2,Male,4,Sales Executive,2,Single,17216,1,No,14,3,2,1,23,1,2,4,3,2,11,No
44,Travel_Frequently,303,Human Resources,2,2,2,Male,1,Sales Executive,4,Single,17788,6,No,17,3,4,0,31,1,3,25,4,12,11,No
23,Travel_Rarely,166,Sales,27,1,2,Male,4,Manager,2,Married,18418,7,No,10,3,3,0,10,5,2,23,4,11,9,No
52,Non-Travel,1208,Research & Development,7,1,4,Female,2,Sales Executive,4,Married,6663,4,Yes,17,3,4,2,39,0,1,26,9,7,12,Yes
26,Non-Travel,524,Research & Development,11,1,4,Female,4,Sales Representative,4,Single,6023,1,No,21,3,3,1,12,5,3,18,7,6,3,No
51,Travel_Rarely,631,Human Resources,19,4,1,Female,3,Healthcare Representative,4,Single,7005,8,Yes,10,4,2,2,32,2,1,23,8,9,0,Yes
18,Travel_Rarely,1270,Sales,2,1,4,Male,5,Manufacturing Director,2,Divorced,17495,3,No,17,4,2,0,11,2,3,1,8,6,6,No
51,Travel_Frequently,773,Research & Development,18,4,1,Female,1,Sales Representative,3,Divorced,2873,4,Yes,12,3,4,0,0,3,3,1,1,14,4,Yes
51,Travel_Frequently,1431,Human Resources,3,1,4,Female,2,Laboratory Technician,3,Married,11916,3,Yes,22,3,3,1,15,2,3,15,1,4,6,Yes
50,Non-Travel,865,Sales,26,1,3,Male,4,Sales Representative,3,Divorced,3355,2,Yes,13,4,3,1,24,4,2,31,15,1,14,No
45,Travel_Frequently,1264,Research & Development,20,2,3,Male,2,Sales Executive,3,Single,16344,9,Yes,16,3,4,2,19,0,1,22,13,6,1,No
37,Travel_Rarely,276,Research & Development,10,1,1,Male,2,Healthcare Representative,2,Divorced,6869,1,Yes,11,3,3,1,23,1,2,26,11,7,6,Yes
47,Travel_Rarely,655,Sales,20,1,3,Male,4,Sales Executive,4,Single,12646,3,No,11,3,1,0,0,1,2,30,16,5,10,No
29,Travel_Rarely,356,Research & Development,9,4,3,Male,3,Sales Executive,4,Single,9391,7,Yes,18,3,2,2,31,4,3,32,1,14,13,No
50,Travel_Frequently,179,Research & Development,4,2,2,Female,1,Healthcare Representative,2,Married,7014,6,No,18,3,1,0,10,1,1,30,4,11,9,Yes
41,Travel_Rarely,1488,Sales,1,2,3,Female,2,Manufacturing Director,1,Divorced,15850,0,No,14,4,2,0,5,1,1,21,14,7,0,Yes
37,Non-Travel,824,Human Resources,7,4,4,Male,4,Laboratory Technician,4,Married,14306,6,No,19,4,4,0,38,1,1,27,11,12,9,No
39,Non-Travel,595,Human Resources,20,4,1,Male,1,Research Scientist,1,Single,16495,7,No,12,3,4,1,0,0,3,28,17,12,9,No
41,Travel_Rarely,626,Sales,16,2,2,Female,5,Laboratory Technician,1,Single,14443,3,No,16,4,4,1,26,1,2,4,16,0,7,Yes
19,Non-Travel,437,Research & Development,8,2,2,Male,2,Manager,4,Married,15651,7,No,24,4,2,0,18,4,2,23,11,7,12,No
23,Travel_Frequently,272,Human Resources,20,2,1,Male,3,Research Scientist,4,Divorced,14841,6,Yes,12,3,3,1,3,5,2,21,4,2,3,No
28,Travel_Rarely,1378,Sales,11,2,2,Female,4,Sales Representative,1,Married,3618,5,Yes,22,3,3,1,38,3,3,30,1,4,0,Yes
22,Travel_Frequently,248,Sales,5,1,1,Male,2,Sales Representative,4,Single,15561,5,Yes,11,4,2,0,16,2,3,23,10,0,10,No
36,Travel_Frequently,638,Research & Development,20,4,1,Female,3,Laboratory Technician,4,Married,8884,6,No,11,4,4,0,27,2,3,5,2,11,15,No
46,Travel_Rarely,314,Human Resources,13,3,4,Female,5,Laboratory Technician,4,Divorced,13457,3,No,14,4,3,2,35,5,2,15,4,8,8,No
45,Non-Travel,1401,Human Resources,19,3,2,Female,5,Research Scientist,1,Divorced,2741,1,Yes,13,3,2,1,32,3,3,21,16,3,4,No
37,Travel_Rarely,388,Research & Development,16,2,2,Female,2,Research Scientist,2,Divorced,9530,4,Yes,20,4,4,1,35,4,1,6,0,3,10,Yes
53,Travel_Rarely,651,Human Resources,3,3,3,Male,5,Sales Executive,3,Married,7763,0,No,17,3,2,1,13,2,3,19,9,14,0,No
41,Travel_Rarely,1155,Research & Development,2,1,4,Female,1,Laboratory Technician,1,Married,7651,2,No,17,3,1,0,8,4,2,19,17,5,4,Yes
21,Travel_Rarely,898,Human Resources,3,1,4,Male,5,Sales Representative,4,Divorced,9398,4,Yes,20,4,3,0,0,0,2,6,9,13,9,Yes
50,Travel_Rarely,634,Research & Development,7,4,3,Male,3,Manufacturing Director,4,Married,18327,0,Yes,17,3,2,0,38,2,1,5,14,0,7,Yes
42,Travel_Frequently,889,Human Resources,7,1,2,Female,2,Sales Executive,4,Married,14436,8,No,22,4,4,1,24,3,2,6,13,5,13,No
44,Travel_Frequently,711,Research & Development,26,4,2,Female,1,Laboratory Technician,3,Single,16559,3,No,16,4,4,2,21,0,2,14,13,6,13,No
41,Travel_Rarely,505,Human Resources,22,2,3,Male,4,Laboratory Technician,4,Married,12245,3,Yes,23,3,1,2,29,0,2,21,8,9,8,Yes
41,Non-Travel,937,Human Resources,25,3,4,Male,1,Healthcare Representative,2,Single,16951,9,Yes,20,4,3,1,31,0,3,12,2,5,10,Yes
21,Non-Travel,611,Human Resources,14,3,4,Male,4,Manager,2,Married,15143,7,No,19,4,3,1,4,5,2,31,10,2,5,Yes
41,Non-Travel,1444,Sales,10,3,4,Male,1,Manufacturing Director,2,Divorced,3188,3,Yes,23,3,4,1,7,2,2,9,7,12,0,Yes
51,Travel_Frequently,748,Human Resources,12,4,3,Male,3,Sales Executive,2,Single,13600,2,Yes,13,3,1,1,13,5,3,17,15,10,9,Yes
30,Non-Travel,1159,Sales,25,2,1,Male,3,Laboratory Technician,1,Divorced,9019,8,Yes,17,3,1,1,25,5,1,5,13,1,11,Yes
43,Travel_Frequently,428,Human Resources,10,4,2,Male,5,Laboratory Technician,2,Married,10606,3,No,23,3,1,1,10,3,1,23,1,12,2,No
19,Travel_Frequently,1003,Sales,18,2,1,Female,3,Sales Representative,3,Married,8054,0,No,24,4,4,2,15,0,2,19,5,3,13,No
32,Travel_Rarely,883,Human Resources,5,4,2,Female,2,Healthcare Representative,4,Married,2900,4,Yes,10,3,4,0,30,4,1,1,2,12,8,Yes
36,Non-Travel,1141,Research & Development,28,2,3,Male,4,Sales Executive,3,Divorced,17702,4,Yes,13,4,3,1,19,3,1,11,4,9,3,Yes
59,Travel_Rarely,746,Research & Development,18,4,3,Female,5,Research Scientist,4,Divorced,5721,6,Yes,24,3,2,1,0,5,3,6,10,3,7,No
27,Travel_Frequently,1107,Human Resources,28,4,1,Male,3,Healthcare Representative,4,Divorced,7629,2,No,20,3,2,2,39,2,1,5,3,7,9,No
29,Non-Travel,182,Research & Development,9,3,3,Male,4,Laboratory Technician,1,Married,13171,8,No,18,4,2,2,17,2,3,2,9,1,3,No
35,Travel_Rarely,1066,Sales,18,4,2,Male,5,Manager,3,Married,18896,4,Yes,23,4,3,2,27,4,1,18,5,9,15,No
59,Travel_Frequently,1154,Sales,8,3,3,Male,3,Laboratory Technician,3,Married,6440,5,Yes,24,4,3,0,26,2,3,11,1,6,14,No
53,Travel_Rarely,794,Human Resources,14,3,4,Male,5,Laboratory Technician,4,Single,16479,6,No,24,3,4,0,3,5,2,23,4,6,0,No
19,Travel_Frequently,148,Research & Development,10,2,2,Female,5,Sales Executive,4,Divorced,3821,7,No,22,4,3,1,3,2,2,3,3,4,11,No
27,Travel_Frequently,893,Human Resources,4,2,1,Male,1,Laboratory Technician,1,Divorced,17570,3,Yes,11,4,2,0,39,3,3,5,8,1,13,Yes
52,Travel_Rarely,1193,Sales,13,1,4,Male,3,Healthcare Representative,1,Married,5705,0,No,15,4,4,2,11,2,1,27,7,1,1,Yes
20,Non-Travel,746,Sales,15,3,2,Male,1,Manufacturing Director,3,Single,3468,1,No,18,4,2,2,10,0,1,24,12,8,13,No
53,Travel_Frequently,231,Human Resources,5,3,1,Male,4,Research Scientist,2,Married,12565,5,Yes,15,3,3,0,8,4,3,32,10,14,0,Yes
29,Travel_Frequently,652,Sales,12,3,2,Male,4,Research Scientist,4,Divorced,19553,0,Yes,11,4,3,0,16,1,2,12,14,9,15,Yes
56,Non-Travel,1491,Human Resources,3,3,2,Male,1,Manufacturing Director,3,Divorced,18905,4,Yes,19,3,3,2,22,3,3,7,15,4,4,No
30,Travel_Rarely,479,Research & Development,19,1,2,Male,1,Manufacturing Director,3,Single,8341,3,Yes,14,3,4,0,5,4,2,18,6,0,16,No
36,Travel_Frequently,841,Research & Development,9,4,4,Male,4,Sales Representative,4,Divorced,3066,3,Yes,20,3,3,2,6,3,1,14,6,13,16,Yes
45,Non-Travel,597,Sales,3,2,2,Male,2,Manager,3,Married,2984,7,No,19,4,3,0,28,2,3,8,10,1,4,No
23,Travel_Frequently,1097,Sales,15,3,2,Male,1,Sales Representative,3,Married,5155,6,Yes,23,4,1,0,29,4,3,27,7,4,11,No
41,Travel_Rarely,699,Human Resources,24,1,2,Male,1,Healthcare Representative,1,Single,13035,4,No,24,3,1,2,36,3,1,0,8,4,4,Yes
39,Travel_Rarely,638,Research & Development,28,3,3,Female,5,Sales Representative,4,Single,9844,0,Yes,17,3,2,0,32,3,2,26,5,2,14,Yes
50,Non-Travel,911,Research & Development,28,2,4,Male,3,Research Scientist,2,Single,17494,9,No,23,4,4,2,28,1,2,7,10,4,13,Yes
59,Non-Travel,900,Human Resources,5,4,3,Female,4,Laboratory Technician,2,Divorced,3183,9,Yes,22,3,1,2,19,5,2,5,4,14,3,Yes
45,Non-Travel,799,Research & Development,6,4,4,Female,3,Laboratory Technician,3,Married,14968,2,No,15,4,4,2,18,1,2,13,8,2,10,No
35,Travel_Rarely,461,Human Resources,26,4,2,Male,5,Sales Executive,1,Married,19025,6,No,13,3,2,0,7,0,2,13,3,4,3,No
35,Non-Travel,251,Human Resources,18,2,3,Female,5,Manager,2,Married,14547,9,No,14,4,2,1,37,5,1,5,1,13,3,No
35,Travel_Frequently,1066,Research & Development,16,3,3,Female,5,Sales Executive,3,Single,19021,5,Yes,20,3,1,1,12,2,1,10,1,2,5,No
52,Non-Travel,575,Sales,23,3,4,Male,4,Healthcare Representative,4,Married,18911,8,No,18,4,1,2,32,1,1,25,0,6,5,No
31,Non-Travel,957,Research & Development,2,2,2,Female,1,Research Scientist,1,Married,7812,2,No,15,4,1,0,32,1,2,34,4,5,6,No
25,Travel_Rarely,626,Human Resources,16,2,1,Male,3,Laboratory Technician,4,Married,19394,7,No,10,4,4,2,32,1,3,32,1,12,11,No
32,Non-Travel,1295,Sales,17,3,4,Male,1,Research Scientist,4,Divorced,4586,4,Yes,16,4,4,1,39,3,3,10,0,9,12,No
18,Travel_Frequently,1089,Research & Development,27,1,3,Male,3,Laboratory Technician,3,Married,16742,6,Yes,20,4,1,1,0,1,2,13,7,7,10,No
22,Non-Travel,665,Sales,14,2,1,Male,3,Manager,4,Single,18890,2,Yes,21,4,1,2,36,3,1,29,5,4,6,No
21,Non-Travel,566,Research & Development,15,3,4,Female,3,Sales Representative,3,Married,16004,0,Yes,11,3,2,2,23,1,3,18,6,13,14,No
50,Travel_Rarely,1148,Human Resources,23,4,2,Female,5,Sales Executive,2,Single,16246,0,Yes,15,4,3,2,7,0,2,34,0,2,13,Yes
48,Non-Travel,111,Research & Development,8,3,3,Female,2,Sales Executive,3,Divorced,7983,7,No,10,3,4,0,11,5,3,23,17,6,6,No
47,Travel_Rarely,180,Human Resources,2,3,2,Female,5,Laboratory Technician,3,Married,14716,9,No,15,3,2,1,25,0,3,27,13,10,6,No
37,Travel_Rarely,218,Sales,14,4,4,Female,4,Healthcare Representative,3,Divorced,10059,2,No,13,3,1,1,5,0,1,26,0,7,10,No
48,Travel_Rarely,584,Human Resources,18,1,2,Female,3,Healthcare Representative,1,Divorced,4626,0,Yes,24,3,1,2,24,0,1,25,3,5,14,Yes
24,Travel_Rarely,795,Human Resources,14,3,3,Female,3,Healthcare Representative,3,Single,11303,3,Yes,13,4,3,0,10,1,1,15,0,3,14,Yes
55,Non-Travel,510,Human Resources,20,3,3,Male,2,Manufacturing Director,4,Divorced,17823,8,No,13,4,1,0,13,4,1,10,7,5,4,No
39,Travel_Rarely,363,Research & Development,8,4,4,Male,4,Research Scientist,2,Married,10362,2,No,21,4,2,2,17,0,1,4,10,14,12,No
